pcode_leve,pcode_le_1,name,area
KE,KE030,Baringo,10942535873.21
KE,KE036,Bomet,2419075478.18
KE,KE039,Bungoma,3028542789.23
KE,KE040,Busia,1798571422.77
KE,KE028,Elgeyo-Marakwet,2996350589.22
KE,KE014,Embu,2795091688.77
KE,KE007,Garissa,43603708957.35
KE,KE043,Homa Bay,4755442623.31
KE,KE019,Nyeri,3341375564.08
KE,KE011,Isiolo,25381862129.25
KE,KE034,Kajiado,21867721100.09
KE,KE037,Kakamega,2992786809.09
KE,KE035,Kericho,2524631495.33
KE,KE022,Kiambu,2528128855.78
KE,KE003,Kilifi,12613980972.70
KE,KE020,Kirinyaga,1479526439.52
KE,KE045,Kisii,1316832631.26
KE,KE042,Kisumu,2648697811.78
KE,KE015,Kitui,30438662851.57
KE,KE002,Kwale,8224401973.19
KE,KE031,Laikipia,9550751262.23
KE,KE016,Machakos,6013182149.28
KE,KE017,Makueni,8209502154.05
KE,KE009,Mandera,25959043701.82
KE,KE025,Samburu,21056120042.97
KE,KE010,Marsabit,75998717917.37
KE,KE012,Meru,7001825309.08
KE,KE044,Migori,3144243390.84
KE,KE021,Murang'a,2540623643.83
KE,KE047,Nairobi,717462601.63
KE,KE032,Nakuru,7471578205.14
KE,KE029,Nandi,2823856015.10
KE,KE046,Nyamira,877597164.50
KE,KE018,Nyandarua,3234086089.65
KE,KE041,Siaya,3547477005.12
KE,KE006,Taita Taveta,17132366358.95
KE,KE004,Tana River,39208124200.96
KE,KE013,Tharaka-Nithi,2588104384.69
KE,KE026,Trans Nzoia,2477659258.78
KE,KE023,Turkana,70085324157.14
KE,KE027,Uasin Gishu,3409939065.10
KE,KE038,Vihiga,572064661.50
KE,KE008,Wajir,56674502386.06
KE,KE024,West Pokot,9306602986.36
KE,KE033,Narok,17907590200.22
KE,KE001,Mombasa,203788186.30
KE,KE005,Lamu,6017552567.33
