OBJECTID,ADM0_EN,ADM0_PCODE,name,ADM1_PCODE,area
1,Uganda,UG,ABIM,UG314,2752407402
2,Uganda,UG,ADJUMANI,UG301,3113270655
3,Uganda,UG,AGAGO,UG322,3526936864
4,Uganda,UG,ALEBTONG,UG323,1556025887
5,Uganda,UG,AMOLATAR,UG315,1756265979
6,Uganda,UG,AMUDAT,UG324,1665436808
7,Uganda,UG,AMURIA,UG216,2588005096
8,Uganda,UG,AMURU,UG316,3537176626
9,Uganda,UG,APAC,UG302,3229357289
10,Uganda,UG,ARUA,UG303,4345016669
11,Uganda,UG,BUDAKA,UG217,410436046
12,Uganda,UG,BUDUDA,UG218,318687058
13,Uganda,UG,BUGIRI,UG201,1053510295
14,Uganda,UG,BUHWEJU,UG420,748646203.1
15,Uganda,UG,BUIKWE,UG117,1453291089
16,Uganda,UG,BUKEDEA,UG219,1049650647
17,Uganda,UG,BUKOMANSIMBI,UG118,599876809.6
18,Uganda,UG,BUKWO,UG220,557912237.5
19,Uganda,UG,BULAMBULI,UG225,694390431.1
20,Uganda,UG,BULIISA,UG416,2038802924
21,Uganda,UG,BUNDIBUGYO,UG401,851717120.3
22,Uganda,UG,BUNYANGABU,UG430,497861432
23,Uganda,UG,BUSHENYI,UG402,805003948.1
24,Uganda,UG,BUSIA,UG202,763868768.3
25,Uganda,UG,BUTALEJA,UG221,655513858.9
26,Uganda,UG,BUTAMBALA,UG119,405627478.4
27,Uganda,UG,BUTEBO,UG233,322934580
28,Uganda,UG,BUVUMA,UG120,9622510920
29,Uganda,UG,BUYENDE,UG226,1880868230
30,Uganda,UG,DOKOLO,UG317,1090087278
31,Uganda,UG,GOMBA,UG121,1670566110
32,Uganda,UG,GULU,UG304,1936762845
33,Uganda,UG,HOIMA,UG432,5638678442
34,Uganda,UG,IBANDA,UG417,965505494.1
35,Uganda,UG,IGANGA,UG203,1016819519
36,Uganda,UG,ISINGIRO,UG418,2648500722
37,Uganda,UG,JINJA,UG204,724298537.4
38,Uganda,UG,KAABONG,UG318,7287756463
39,Uganda,UG,KABALE,UG404,616976864.7
40,Uganda,UG,KABAROLE,UG405,1315280184
41,Uganda,UG,KABERAMAIDO,UG213,1624833710
42,Uganda,UG,KAGADI,UG427,1554466530
43,Uganda,UG,KAKUMIRO,UG428,1669445044
44,Uganda,UG,KALANGALA,UG101,7750791595
45,Uganda,UG,KALIRO,UG222,869840568.8
46,Uganda,UG,KALUNGU,UG122,837252966.9
47,Uganda,UG,KAMPALA,UG102,195304886.9
48,Uganda,UG,KAMULI,UG205,1555479239
49,Uganda,UG,KAMWENGE,UG413,2408086982
50,Uganda,UG,KANUNGU,UG414,1331541774
51,Uganda,UG,KAPCHORWA,UG206,357489592.4
52,Uganda,UG,KASESE,UG406,3387662771
53,Uganda,UG,KATAKWI,UG207,2428987324
54,Uganda,UG,KAYUNGA,UG112,1705197611
55,Uganda,UG,KIBAALE,UG407,1160787197
56,Uganda,UG,KIBOGA,UG103,1564418407
57,Uganda,UG,KIBUKU,UG227,490231688.4
58,Uganda,UG,KIRUHURA,UG419,4602234076
59,Uganda,UG,KIRYANDONGO,UG421,3623629332
60,Uganda,UG,KISORO,UG408,734021722.5
61,Uganda,UG,KITGUM,UG305,4153876720
62,Uganda,UG,KOBOKO,UG319,761485193.4
63,Uganda,UG,KOLE,UG325,1061019156
64,Uganda,UG,KOTIDO,UG306,3631205401
65,Uganda,UG,KUMI,UG208,1074693978
66,Uganda,UG,KWEEN,UG228,816399673.7
67,Uganda,UG,KYANKWANZI,UG123,2473695443
68,Uganda,UG,KYEGEGWA,UG422,1747099777
69,Uganda,UG,KYENJOJO,UG415,2350800496
70,Uganda,UG,KYOTARA,UG125,938752915.5
71,Uganda,UG,LAMWO,UG326,5447126079
72,Uganda,UG,LIRA,UG307,1340996643
73,Uganda,UG,LUUKA,UG229,649620285.3
74,Uganda,UG,LUWERO,UG104,2217765084
75,Uganda,UG,LWENGO,UG124,1024461738
76,Uganda,UG,LYANTONDE,UG114,866029001.4
77,Uganda,UG,MANAFWA,UG223,211133966.4
78,Uganda,UG,MARACHA,UG320,443898734.3
79,Uganda,UG,MASAKA,UG105,2198383388
80,Uganda,UG,MASINDI,UG409,3922248952
81,Uganda,UG,MAYUGE,UG214,3381617467
82,Uganda,UG,MBALE,UG209,518818136.9
83,Uganda,UG,MBARARA,UG410,1795324451
84,Uganda,UG,MITOOMA,UG423,680138810.6
85,Uganda,UG,MITYANA,UG115,1598569406
86,Uganda,UG,MOROTO,UG308,3546320202
87,Uganda,UG,MOYO,UG309,1713052500
88,Uganda,UG,MPIGI,UG106,1525254951
89,Uganda,UG,MUBENDE,UG107,4614545107
90,Uganda,UG,MUKONO,UG108,4085743917
91,Uganda,UG,NAKAPIRIPIRIT,UG311,4182574541
92,Uganda,UG,NAKASEKE,UG116,3477531663
93,Uganda,UG,NAKASONGOLA,UG109,3511410024
94,Uganda,UG,NAMAYINGO,UG230,4667346366
95,Uganda,UG,NAMISINDWA,UG234,322995902.4
96,Uganda,UG,NAMUTUMBA,UG224,814347578.6
97,Uganda,UG,NAPAK,UG327,4475780608
98,Uganda,UG,NEBBI,UG310,999881216.9
99,Uganda,UG,NGORA,UG231,721512894.8
100,Uganda,UG,NTOROKO,UG424,1399093658
101,Uganda,UG,NTUNGAMO,UG411,2042231922
102,Uganda,UG,NWOYA,UG328,4711171897
103,Uganda,UG,OMORO,UG331,1566365767
104,Uganda,UG,OTUKE,UG329,1649684555
105,Uganda,UG,OYAM,UG321,2250667004
